,text,label
16,头部受伤后，您可能会立即出现颅内血肿的迹象和症状，或者可能需要数周或更长时间才能出现。头部受伤后你可能看起来很好。这个时期被称为清醒期。随着时间的推移，大脑的压力增加，产生以下部分或全部症状：头痛加重呕吐嗜睡和进行性意识丧失头晕意识模糊瞳孔大小不等说话含糊不清在头部受伤的身体另一侧运动能力丧失（瘫痪）随着更多的血液充满大脑或大脑与颅骨之间的狭窄空间，可能会出现其他症状和体征，如：嗜睡癫痫发作意识丧失,533.0
17,肌肉无力、颈部僵硬、关节肿胀、运动僵硬、行走疼痛,72.0
18,呕吐、消化不良、食欲不振、腹痛、气体排出、内痒,735.0
19,寒战、呕吐、乏力、体重减轻、咳嗽、高烧、呼吸困难、出汗、食欲不振、轻度发热、眼睛发黄、淋巴结肿大、不适、痰、胸痛、痰中带血,1019.0
20,疲劳、咳嗽、高烧、呼吸困难、家族史、粘液痰,149.0
21,瘙痒、皮疹、胃痛、烧灼感、排尿、点状小便,308.0
22,呕吐、呼吸困难、出汗、胸痛,447.0
23,我最近感觉很疲惫。我呼吸一直很困难，而且一直流鼻涕。我也有很多喉咙粘液，我的淋巴结发炎。,234.0
24,皮疹、高烧、水疱、鼻周红肿、黄痂、软泥,515.0
25,我的关节和肌肉一直很疼。我的脖子僵硬，走动困难。当我试图驾驶我的车时，我也很疼。,72.0
26,呕吐、消化不良、食欲不振、腹痛、气体排出、内痒,735.0
27,胃酸过多，消化不良，头痛，视力模糊和扭曲，过度饥饿，颈部僵硬，易怒，视力障碍,630.0
28,肌筋膜疼痛综合征的体征和症状可能包括：肌肉中的深度疼痛疼痛持续或恶化肌肉中的触痛结由于疼痛而难以入睡,665.0
29,肌肉无力、颈部僵硬、关节肿胀、运动僵硬、行走疼痛,72.0
30,皮疹，脓疱，黑头粉刺,7.0
31,皮疹，胃痛，烧灼感排尿，点状排尿,308.0
32,瘙痒、皮疹、疲劳、嗜睡、高烧、头痛、食欲不振、轻度发热、淋巴结肿大、不适、全身红斑,193.0
33,疲劳、皮肤发黄、食欲不振、眼睛发黄、家族史,466.0
34,囊肿性痤疮打开弹出对话框关闭囊肿性痤疮囊肿性痤疮囊肿性痤疮是痤疮的最严重形式，当油脂和死皮细胞在毛囊深处堆积时就会发生。由此导致的皮肤破裂可能会形成疖子样炎症。囊性痤疮打开弹出对话框囊性痤疮打开弹出对话框打开弹出对话框关闭囊性痤疮囊性痤疮囊性痤疮是痤疮的最严重形式，当油脂和死皮细胞在毛囊深处堆积时就会发生。由此导致的皮肤破裂可能会形成疖子样炎症。闭合性囊性痤疮囊性痤疮囊性痤疮是痤疮的最严重形式，当油脂和死皮细胞在毛囊深处堆积时就会发生。由此导致的皮肤破裂可能会形成疖子样炎症。闭合性囊性痤疮囊性痤疮囊性痤疮是痤疮的最严重形式，当油脂和死皮细胞在毛囊深处堆积时就会发生。由此导致的皮肤破裂可能会形成疖子样炎症。闭合闭合闭合囊性痤疮囊性痤疮囊性痤疮是痤疮的最严重形式，当油脂和死皮细胞在毛囊深处堆积时就会发生。由此导致的皮肤破裂可能会形成疖子样炎症。囊肿性痤疮囊肿性痤疮是痤疮的最严重形式，当油脂和死皮细胞在毛囊深处堆积时就会发生。由此导致的皮肤破裂可能会形成疖子样炎症。囊肿性痤疮是痤疮的最严重形式，当油脂和死皮细胞在毛囊深处堆积时就会发生。由此导致的皮肤破裂可能会形成疖子样炎症。痤疮的症状根据病情的严重程度而有所不同：白头（闭合的堵塞毛孔）黑头（开放的堵塞毛孔）小的红色、柔软的肿块（丘疹）丘疹（脓疱），即顶端有脓液的丘疹皮下大的、坚实的、疼痛的肿块（结节）皮下疼痛的、充满脓液的肿块（囊性病变）痤疮通常出现在面部、前额、胸部、上背部和肩部。,7.0
35,疲劳、皮肤发黄、恶心、眼睛发黄、家族史,466.0
36,呕吐、焦虑、出汗、头痛、恶心、视力模糊和扭曲、过度饥饿、嘴唇干燥和刺痛、口齿不清、易怒、心悸,504.0
37,放射性肠炎的症状包括腹泻、恶心、呕吐和胃痉挛。症状的出现是因为癌症放射治疗对肠道的刺激。症状通常会在治疗结束几周后消失。但有时它们会持续更长时间。持续时间较长的放射性肠炎会导致贫血和肠梗阻。风险因素接受腹部和骨盆癌症放射治疗的人患放射性肠炎的风险更高。放射性肠炎的发生是因为放射治疗会引起肠道刺激。梅奥诊所工作人员梅奥诊所工作人员放射性肠炎护理,834.0
38,疲劳、情绪波动、体重减轻、坐立不安、出汗、腹泻、心率加快、过度饥饿、肌肉无力、易怒、月经异常,502.0
39,这几天我一直在发高烧。晚上尤其糟糕。我也有轻微的头痛，一直便秘和腹泻。,1026.0
40,我经常头痛，视力模糊。我也有落枕、焦虑、易怒和视觉障碍。我也一直有胃病，包括消化不良和胃酸过多。,630.0
41,呕吐、皮肤发黄、腹痛、胃胀、腹胀、液体超载,33.0
42,呕吐、眼窝凹陷、脱水、腹泻,402.0
43,瘙痒、皮疹、胃痛、烧灼感、排尿、点状小便,308.0
44,关节痛、呕吐、乏力、皮肤发黄、尿黑、恶心、食欲不振、腹痛、眼睛发黄,467.0
45,瘙痒、皮疹、疲劳、嗜睡、高烧、头痛、食欲不振、轻度发热、淋巴结肿大、不适、全身红斑,193.0
46,呕吐、疲劳、焦虑、出汗、头痛、恶心、视力模糊和扭曲、过度饥饿、嘴唇干燥和刺痛、口齿不清、易怒、心悸,504.0
47,持续打喷嚏、颤抖、发冷、流泪,35.0
48,血管瘤可能在出生时出现，但更常见于出生后的头几个月。它始于身体任何部位的扁平红色标记，最常见的是面部、头皮、胸部或背部。通常一个孩子只有一个标记。有些孩子可能不止一个，尤其是如果他们是多胞胎的话。在孩子的第一年，红色标记会迅速成长为海绵状、橡胶状的肿块，从皮肤上突出来。血管瘤然后进入休息期，最终，它开始慢慢消失。许多血管瘤在5岁时消失，大多数在10岁时消失。血管瘤消失后，皮肤可能会轻微变色或隆起。,457.0
49,寒战、呕吐、乏力、体重减轻、咳嗽、高烧、呼吸困难、出汗、食欲不振、轻度发热、眼睛发黄、淋巴结肿大、不适、痰、胸痛、痰中带血,1019.0
50,我一直头痛、胸痛、头晕，注意力难以集中。,500.0
51,过敏症状取决于所涉及的物质，会影响你的呼吸道、鼻窦和鼻腔、皮肤和消化系统。过敏反应从轻微到严重不等。在一些严重的情况下，过敏会引发威胁生命的反应，称为过敏反应。花粉热，也称为过敏性鼻炎，可引起：花粉热，打喷嚏鼻子，眼睛或上颚瘙痒流鼻涕，鼻塞流泪，眼睛红肿或肿胀（结膜炎）食物过敏可引起：食物过敏口腔刺痛嘴唇，舌头，面部或喉咙肿胀荨麻疹过敏反应昆虫叮咬过敏反应可引起：昆虫叮咬过敏叮咬部位大面积肿胀（水肿）全身瘙痒或荨麻疹咳嗽，胸闷，喘息或呼吸急促过敏反应药物过敏可引起：药物过敏荨麻疹瘙痒皮疹面部肿胀喘息过敏反应特应性皮炎，过敏性皮肤病也称为湿疹可导致皮肤出现：特应性皮炎、瘙痒、发红的鳞片或脱皮过敏反应某些类型的过敏，包括对食物和昆虫叮咬的过敏，可引发称为过敏反应的严重反应。过敏反应是一种危及生命的医疗紧急情况，会导致你休克。过敏反应的体征和症状包括：意识丧失、血压下降、呼吸急促、皮疹、头晕、脉搏急促、微弱、恶心和呕吐,34.0
52,关节痛、呕吐、乏力、尿黑、恶心、食欲不振、腹痛、眼睛发黄,467.0
53,呕吐、眼窝凹陷、腹泻,402.0
54,瘙痒、呕吐、乏力、体重减轻、高烧、皮肤发黄、尿黑、腹痛,541.0
55,这几天我一直头疼。感觉太阳穴一阵剧痛。我也有胸痛和头晕。,500.0
56,持续打喷嚏、寒战、乏力、咳嗽、高烧、头痛、淋巴结肿大、不适、痰、咽喉发炎、眼睛发红、鼻窦压力、流鼻涕、充血、胸痛、嗅觉丧失、肌肉疼痛,234.0
57,胃轻瘫的体征和症状包括：呕吐恶心腹胀腹痛吃了几口后有饱腹感呕吐几小时前吃了未消化的食物胃酸倒流血糖水平变化食欲不振体重减轻和营养不良许多胃轻瘫患者没有任何明显的体征和症状。,405.0
58,寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹痛、腹泻、伤寒、腹痛,1026.0
59,许多外周动脉疾病患者症状轻微或无症状。有些人走路时腿痛（跛行）。跛行症状包括肌肉疼痛或腿部或手臂抽筋，始于运动，止于休息。疼痛最常见于小腿。疼痛从轻微到严重不等。严重的腿痛可能会使行走或其他类型的身体活动变得困难。其他外周动脉疾病症状可能包括：小腿或足部发冷，特别是与另一侧相比时腿部麻木或虚弱腿部或足部无脉搏或脉搏微弱在某些活动后，如行走或爬楼梯，臀部、大腿或小腿的一个或两个肌肉疼痛抽筋腿部皮肤发亮腿部皮肤颜色变化脚趾甲生长较慢脚趾、脚或腿部疼痛无法愈合使用手臂时的疼痛，如编织、写作或做其他手工任务时的疼痛和抽筋勃起功能障碍脱发或腿部毛发生长较慢如果外周动脉疾病恶化，休息或躺下时可能会出现疼痛。疼痛可能会打断睡眠。把腿挂在床边或走路可能会暂时缓解疼痛。,741.0
60,不停地打喷嚏，发抖，流泪,35.0
61,疲劳、皮肤发黄、恶心、食欲不振、眼睛发黄、家族史,466.0
62,精子数量低的主要标志是不能怀孕。可能没有其他明显的迹象或症状。在一些男性中，潜在的问题，如遗传性染色体异常、激素失衡、睾丸静脉扩张或阻碍精子通过的情况，可能会导致症状和体征。精子数量低的症状可能包括：性功能问题——例如，性欲低下或难以维持勃起（勃起功能障碍）睾丸区疼痛、肿胀或肿块面部或体毛减少或其他染色体或激素异常的迹象,588.0
63,肌肉萎缩、喉部斑块、高烧、婚外情,27.0
64,疲劳、咳嗽、高烧、呼吸困难、家族史、粘液痰,149.0
65,疲劳、情绪波动、体重减轻、坐立不安、出汗、腹泻、心率加快、过度饥饿、肌肉无力、易怒、月经异常,502.0
66,过去几天我一直感觉很不舒服。我发高烧，发冷，还很痒。我也一直在呕吐和出汗。我头疼，肌肉酸痛。,596.0
67,瘙痒、呕吐、皮肤发黄、恶心、食欲不振、腹痛、眼睛发黄,207.0
68,我的皮肤真的很痒，有时还会出疹子。我也有一些奇怪的皮肤区域，它们的颜色与我身体的其他部分不同，有时我会有看起来像结节的小肿块。,394.0
69,多系统萎缩（MSA）影响你身体的许多部位。症状通常始于成年，通常在五六十岁。MSA有两种类型：帕金森病和小脑病。类型取决于你被诊断时的症状。这是最常见的MSA类型。体征和症状与帕金森病相似，如：MSA肌肉僵硬难以弯曲手臂和腿运动缓慢（运动迟缓）休息时或移动手臂或腿时会发生震颤声音柔和姿势和平衡问题小脑型主要体征和症状是肌肉协调问题（共济失调），但其他可能包括：运动和协调受损，如步态不稳和失去平衡含糊不清，说话缓慢或音量低（构音障碍）视觉障碍，如模糊或复视和难以聚焦眼睛吞咽困难（吞咽困难）或咀嚼言语变化，如说话含糊不清一般体征和症状此外，多系统萎缩的主要体征是自主神经衰竭，这可能导致您无法控制的身体功能问题。这可能包括：体位性（直立性）低血压体位性低血压是低血压的一种形式，当你从坐着或躺着站起来时，它会使你感到头晕或头昏眼花，甚至昏厥。不是每个MSA患者都有体位性低血压。MSA躺下时，你也可能出现危险的高血压水平（仰卧位高血压）。排尿和肠道功能障碍便秘膀胱或肠道控制能力丧失（失禁）出汗量的变化出汗量减少热不耐受由于出汗减少导致体温控制受损，经常导致手脚冰冷睡眠障碍由于“表演”梦引起的焦虑睡眠夜间呼吸异常或刺耳的呼吸声（喘鸣）性功能障碍无法达到或维持勃起（阳痿）性欲丧失心血管疾病由于血液汇集导致手脚颜色变化精神疾病难以控制情绪，如不恰当地笑或哭,654.0
70,呕吐、头痛、恶心、旋转、失去平衡、站立不稳,0.0
71,腘动脉瘤可能不会引起任何明显的症状。第一个症状可能是行走时出现的小腿疼痛（跛行）。腘动脉瘤的其他体征和症状包括：膝盖疼痛小腿疼痛膝盖后面肿胀膝盖后面的脉动感导致动脉瘤是动脉壁薄弱点中的气球。许多不同的事情可以导致腘动脉壁变得脆弱，包括：动脉阻塞（动脉粥样硬化）高血压由于重复使用膝关节导致腘动脉磨损动脉壁变弱的危险因素腘动脉瘤是罕见的。它们在男性中比在女性中更常见。动脉动脉瘤通常发生在患有腹主动脉瘤（AAA）的男性中，腹主动脉瘤是身体主动脉（主动脉）壁的肿胀。任何被诊断患有腘动脉瘤的人都应该进行AAA筛查。AAA腘动脉瘤的其他危险因素包括：年龄增长高血压（高血压）吸烟心脏瓣膜变窄（狭窄性疾病）身体任何部位有三个或三个以上动脉瘤并发症腘动脉瘤的并发症包括血凝块（血栓形成）和罕见的动脉瘤破裂。腘动脉瘤的血栓形成会导致小腿血流严重不足（缺血），这可能会导致肢体缺失。腿部突然缺血可导致以下体征和症状：受影响区域的皮肤颜色改变膝盖后面没有脉搏受影响区域的皮肤感到腿部冰冷麻木无法移动脚腘动脉瘤破裂的风险较低。预防吸烟和高血压会增加血管问题的风险，从而导致腘动脉和其他动脉瘤。遵循有益心脏健康的生活方式——如不吸烟、营养饮食和定期锻炼——有助于预防心脏病和血管损伤。梅奥诊所员工梅奥诊所员工腘动脉瘤护理,778.0
72,我一直背痛，咳嗽，胳膊和腿无力。我的脖子疼，我一直感到头晕和失去平衡。,186.0
73,胃酸过多，消化不良，头痛，视力模糊和扭曲，过度饥饿，颈部僵硬，抑郁，易怒，视力障碍,630.0
74,呕吐、消化不良、食欲不振、腹痛、气体排出、内痒,735.0
75,呕吐、头痛、身体一侧无力、感觉器官改变,718.0
76,疲劳，高热，呼吸困难，家族史，粘液痰,149.0
77,我吃了某些食物后胃痛，比如热的或酸性的食物。我有时也会拉稀。弯腰或躺下会让我的胃感觉更糟。,736.0
78,呕吐、头痛、恶心、旋转、失去平衡、站立不稳,0.0
79,胃痛、胃酸过多、舌溃疡、呕吐、咳嗽、胸痛,412.0
80,皮疹、高烧、水疱、鼻周红肿、黄痂、软泥,515.0
81,呕吐、消化不良、食欲不振、腹痛、气体排出、内痒,735.0
82,寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹痛、腹泻、伤寒、腹痛,1026.0
83,我脖子很疼，肌肉也很无力。我的关节肿了，走路很僵硬。走路也很不舒服。,72.0
84,唇癌的症状和体征包括：嘴唇扁平或轻微隆起的白色变色嘴唇上的疮无法治愈嘴唇或嘴巴周围皮肤的刺痛、疼痛或麻木,577.0
85,我的关节一直很疼，尤其是脖子和肩膀。很难走动，我总是感觉僵硬。因为疼痛，我也一直失眠。,72.0
86,关节痛，颈痛，膝痛，髋关节痛，关节肿胀，行走疼痛,700.0
87,关节疼痛，颈痛，膝痛，关节肿胀，行走疼痛,700.0
88,疲劳、咳嗽、高烧、呼吸困难、粘液痰,149.0
89,瘙痒、皮疹、疲劳、嗜睡、头痛、食欲不振、轻度发热、淋巴结肿大、不适、全身红斑,193.0
90,持续打喷嚏、颤抖、发冷、流泪,35.0
91,疲劳、皮肤发黄、恶心、食欲不振、眼睛发黄、家族史,466.0
92,高血糖或低血糖的症状通常在糖尿病昏迷之前出现。高血糖（高血糖症）如果你的血糖水平过高，你可能会有：口渴增加尿频视力模糊疲劳或虚弱头痛恶心呕吐气短胃痛水果味口臭口干低血糖（低血糖症）如果你的血糖过低，你可能会有：颤抖焦虑疲劳或困倦虚弱出汗饥饿皮肤刺痛的感觉头晕或头昏眼花头痛说话困难视力模糊混乱失去知觉有些人，特别是那些长期患有糖尿病的人，会出现一种称为低血糖无意识的情况。这意味着他们没有血糖下降的警告症状。如果你有任何高血糖或低血糖的症状，马上测试你的血糖。根据测试结果，遵循您的糖尿病治疗。如果你没有很快开始感觉好起来，或者你开始感觉更糟，马上就医。,287.0
93,皮疹，脓疱，黑头粉刺,7.0
94,疲劳、情绪波动、体重减轻、坐立不安、出汗、腹泻、心率加快、过度饥饿、肌肉无力、易怒、月经异常,502.0
95,排尿烧灼感、膀胱不适、尿感持续,1035.0
96,肌肉萎缩、喉部斑块、高烧、婚外情,27.0
97,周期性呕吐综合征的症状通常在早晨开始。症状和体征包括：三次或三次以上反复发作的呕吐，大约在同一时间开始并持续相似的时间长度不同的一般正常健康的间隔在发作之间没有恶心发作开始前强烈的恶心和出汗呕吐发作期间的其他症状和体征可能包括：腹痛腹泻头晕对轻度头痛敏感干呕或呕吐,262.0
98,呕吐、头痛、恶心、旋转、不稳,0.0
99,链球菌咽喉感染打开弹出对话框关闭链球菌咽喉感染通常会导致咽喉疼痛和吞咽困难。这张链球菌咽喉炎的照片显示了由感染引起的炎症和红斑。链球菌咽喉感染打开弹出对话框链球菌咽喉感染打开弹出对话框打开弹出对话框关闭链球菌咽喉感染通常会导致咽喉疼痛和吞咽困难。这张链球菌咽喉炎的照片显示了由感染引起的炎症和红斑。闭合性链球菌咽喉感染通常会导致咽喉疼痛和吞咽困难。这张链球菌咽喉炎的照片显示了由感染引起的炎症和红斑。闭合性链球菌咽喉感染通常会导致咽喉疼痛和吞咽困难。这张链球菌咽喉炎的照片显示了由感染引起的炎症和红斑。链球菌咽喉感染链球菌咽喉感染链球菌咽喉感染链球菌咽喉感染通常会导致咽喉疼痛和吞咽困难。这张链球菌咽喉炎的照片显示了由感染引起的炎症和红斑。链球菌性咽喉炎链球菌性咽喉炎通常会导致咽喉疼痛和吞咽困难。这张链球菌咽喉炎的照片显示了由感染引起的炎症和红斑。链球菌性咽喉炎通常会导致咽喉疼痛和吞咽困难。这张链球菌咽喉炎的照片显示了由感染引起的炎症和红斑。链球菌性咽喉炎的症状和体征包括：咽喉痛，通常很快出现吞咽疼痛，扁桃体红肿，有时有白色斑块或脓条纹，上颚（软腭或硬腭）后部区域有小红斑，颈部淋巴结肿大，触痛发烧头痛皮疹恶心或呕吐，特别是在年幼的儿童身体疼痛您或您的孩子可能有许多这些症状和体征，但没有链球菌性咽喉炎。这些迹象和症状的原因可能是病毒感染或其他疾病。这就是为什么你的医生通常会专门测试链球菌喉咙。你也有可能接触到携带链球菌但没有表现出任何症状的人。,944.0
100,关节痛、呕吐、乏力、高热、皮肤发黄、尿黑、恶心、食欲不振、腹痛、眼睛发黄、急性肝功能衰竭、昏迷、胃出血,468.0
101,呕吐、呼吸困难、胸痛,447.0
102,我发烧了，脸上起了疹子。皮疹又红又痛，还渗出黄色液体。,515.0
103,我有皮疹，开始是鼻子和脖子附近的小红疮。最近几天疮变得更加疼痛和发炎，我还发高烧。,515.0
104,排尿灼热、膀胱不适、尿臭、尿感持续,1035.0
105,我背痛已经有一段时间了。最近越来越糟了。我也有一个不会消失的咳嗽。我一直感到胳膊和腿无力。我的脖子疼，我一直感到头晕和失去平衡。,186.0
106,呕吐、消化不良、食欲不振、腹痛、气体排出、内痒,735.0
107,呕吐、头痛、身体一侧无力、感觉器官改变,718.0
108,瘙痒、乏力、嗜睡、皮肤发黄、尿黑、食欲不振、尿黄、眼睛发黄、不适、接受输血、接受未消毒注射,465.0
109,呕吐，头痛，旋转运动，失去平衡，站立不稳,0.0
110,便秘、排便时疼痛、肛门疼痛、便血、肛门刺激,297.0
111,呕吐、头痛、恶心、旋转、失去平衡、站立不稳,0.0
112,我真的很累很虚弱。我几乎睁不开眼睛。我发烧了，不想吃东西。我想我已经没胃口了。,193.0
113,瘙痒、呕吐、皮肤发黄、恶心、食欲不振、腹痛、眼睛发黄,207.0
114,瘙痒、皮疹、结疹、变色斑片,394.0
115,便秘、排便痛、便血、肛门刺激,297.0
116,便秘、排便时疼痛、肛门疼痛、便血、肛门刺激,297.0
117,对小麦过敏的儿童或成人可能会在食用含有小麦的食物后几分钟到几小时内出现症状和体征。小麦过敏的体征和症状包括：口腔或咽喉肿胀、瘙痒或刺激荨麻疹、皮肤瘙痒皮疹或肿胀鼻塞头痛呼吸困难痉挛、恶心或呕吐腹泻过敏反应过敏反应对某些人来说，小麦过敏可能会引起危及生命的反应，称为过敏反应。除了小麦过敏的其他体征和症状外，过敏反应还可能导致：喉咙肿胀或发紧、胸痛或发紧、呼吸困难、吞咽困难、肤色苍白、发青、头晕或昏厥,1067.0
118,我胃痛得夜不能寐。我上完厕所就累了，不想吃东西了。我一直都很担心。,736.0
119,寒战、乏力、咳嗽、高烧、呼吸困难、出汗、不适、痰、胸痛、心率加快、痰锈,766.0
120,我皮肤上有皮疹，又痒又不舒服。它也是红色和片状的。它已经扩散到我身体的其他部位，包括我的胸部和腹部。我也面临着脱皮。,822.0
121,我嘴里有酸酸的味道。我经常打嗝和打嗝。我的上腹部有一种持续几个小时的压迫感或饱胀感。我上腹部疼，吃东西的时候更疼。,736.0
122,头痛、胸痛、头晕、失去平衡、注意力不集中,501.0
123,我的脸和鼻子已经长疮几天了。我不知道是什么原因造成的。我脸上的疮肿了，摸起来很痛，我有灼热感，皮肤发红。我也感到有点发烧和头痛。,515.0
124,呕吐、乏力、皮肤发黄、尿黑、恶心、食欲不振、腹痛、眼睛发黄,467.0
125,我全身都起疹子了。真的很痒，我觉得真的很不舒服。,193.0
126,前列腺增生的常见症状包括：前列腺增生频繁或急需尿尿，也称为排尿。晚上尿尿更频繁。开始尿尿有困难。微弱的尿流，或断断续续的尿流。排尿结束时流口水。不能完全排空膀胱。不太常见的症状包括：尿路感染。不能尿尿。尿血。前列腺增生的症状往往会慢慢恶化。但有时它们会保持不变，甚至随着时间的推移而改善。前列腺增生前列腺的大小并不总是决定症状的严重程度。一些前列腺轻微增大的人可能会有主要症状。其他前列腺非常肥大的人可能会有小问题。而有些前列腺肥大的人根本没有任何症状。泌尿系统症状的其他可能原因一些其他健康问题会导致类似前列腺肥大引起的症状。其中包括：尿路感染。前列腺发炎。尿道变窄，尿道是将尿液排出体外的管道。膀胱颈因既往手术留下疤痕。膀胱或肾结石。控制膀胱的神经有问题。前列腺癌或膀胱癌。一些药物也可能导致类似前列腺增生引起的症状。这些药物包括：前列腺增生的强效止痛药物，称为阿片类药物。感冒药和抗过敏药。治疗抑郁症的老药叫做三环类抗抑郁药。,108.0
127,瘙痒、呕吐、乏力、体重减轻、高烧、皮肤发黄、尿黑、腹痛,541.0
128,随着时间的推移，掌腱膜挛缩会慢慢恶化。这种情况始于手掌中的硬块。这个肿块可能有点痛，但通常不痛。随着时间的推移，肿块会延伸到皮肤下的硬线，并向上延伸到手指。这根绳子收紧，将手指拉向手掌，有时会很严重。掌腱膜挛缩最常见于离拇指最远的两个手指。这种情况经常发生在双手。,316.0
129,皮疹、关节痛、脱皮、银粉样粉尘、指甲上有小凹痕,822.0
130,疲劳、情绪波动、体重减轻、坐立不安、出汗、腹泻、心率加快、过度饥饿、肌肉无力、易怒、月经异常,502.0
131,我最近感觉很不舒服。我经常打喷嚏，还流鼻涕。我的喉咙也很痒，我一直感觉很累。,234.0
132,我全身都起疹子，很痒。它是红色的，凹凸不平的，有一些暗点和一些微小的结节状突起。已经发生好几天了，而且越来越严重。,394.0
133,寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹痛、腹泻、伤寒、腹痛,1026.0
134,呕吐、头痛、身体一侧无力、感觉器官改变,718.0
135,呕吐、头痛、身体一侧无力、感觉器官改变,718.0
136,关节痛、呕吐、皮肤发黄、尿黑、恶心、食欲不振、腹痛、腹泻、轻度发热、眼睛发黄、肌肉疼痛,464.0
137,胃痛、胃酸过多、舌溃疡、咳嗽、胸痛,412.0
138,背痛、颈痛、头晕、失去平衡,186.0
