text,label
"vomiting,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",504
"The symptoms of radiation enteritis include diarrhea, nausea, vomiting and stomach cramps. Symptoms occur because of irritation of the intestines from radiation therapy for cancer. Symptoms usually go away several weeks after treatment ends. But sometimes they last longer. Radiation enteritis that goes on for longer can cause anemia and bowel obstruction. Risk factors The risk of radiation enteritis is higher in people undergoing radiation treatments for cancers in the belly and the pelvis. Radiation enteritis occurs because radiation therapy can cause irritation of the intestines.                  By Mayo Clinic Staff By Mayo Clinic Staff  Radiation enteritis care at Mayo Clinic ",834
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",502
I have been having a high fever for the past few days. It is especially bad at night. I also have a mild headache and have been constipated and having diarrhea.,1026
"I have been having frequent headaches and blurred vision. I also have a stiff neck, anxiety, irritability, and visual disturbance. I have also been having stomach problems, including indigestion and acidity.",630
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload",33
"vomiting,sunken_eyes,dehydration,diarrhoea",402
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination",308
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",467
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",193
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",504
"continuous_sneezing,shivering,chills,watering_from_eyes",35
"A hemangioma may be present at birth, but more often appears during the first several months of life. It starts as a flat red mark anywhere on the body, most often on the face, scalp, chest or back. Usually a child has only one mark. Some children may have more than one, particularly if they're part of a multiple birth. During your child's first year, the red mark grows rapidly into a spongy, rubbery-looking bump that sticks out from the skin. The hemangioma then enters a rest phase and, eventually, it begins to slowly disappear. Many hemangiomas disappear by age 5, and most are gone by age 10. The skin may be slightly discolored or raised after the hemangioma goes away.",457
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",1019
"I've been having a headache, chest pain, dizziness, and trouble concentrating.",500
"Allergy symptoms, which depend on the substance involved, can affect your airways, sinuses and nasal passages, skin, and digestive system. Allergic reactions can range from mild to severe. In some severe cases, allergies can trigger a life-threatening reaction known as anaphylaxis. Hay fever, also called allergic rhinitis, can cause: Hay fever,  Sneezing Itching of the nose, eyes or roof of the mouth Runny, stuffy nose Watery, red or swollen eyes (conjunctivitis)  A food allergy can cause: A food allergy  Tingling in the mouth Swelling of the lips, tongue, face or throat Hives Anaphylaxis  An insect sting allergy can cause: An insect sting allergy  A large area of swelling (edema) at the sting site Itching or hives all over the body Cough, chest tightness, wheezing or shortness of breath Anaphylaxis  A drug allergy can cause: A drug allergy  Hives Itchy skin Rash Facial swelling Wheezing Anaphylaxis  Atopic dermatitis, an allergic skin condition also called eczema, can cause skin to: Atopic dermatitis,  Itch Redden Flake or peel  Anaphylaxis Some types of allergies, including allergies to foods and insect stings, can trigger a severe reaction known as anaphylaxis. A life-threatening medical emergency, anaphylaxis can cause you to go into shock. Signs and symptoms of anaphylaxis include:  Loss of consciousness A drop in blood pressure Severe shortness of breath Skin rash Lightheadedness A rapid, weak pulse Nausea and vomiting ",34
"joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",467
"vomiting,sunken_eyes,diarrhoea",402
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",541
I have been having a headache for the past few days. It feels like a sharp pain in my temples. I also have chest pain and dizziness.,500
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",234
Signs and symptoms of gastroparesis include:  Vomiting Nausea Abdominal bloating Abdominal pain A feeling of fullness after eating just a few bites Vomiting undigested food eaten a few hours earlier Acid reflux Changes in blood sugar levels Lack of appetite Weight loss and malnutrition  Many people with gastroparesis don't have any noticeable signs and symptoms.,405
"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain",1026
"Many people with peripheral artery disease have mild or no symptoms. Some people have leg pain when walking (claudication). Claudication symptoms include muscle pain or cramping in the legs or arms that begins during exercise and ends with rest. The pain is most commonly felt in the calf. The pain ranges from mild to severe. Severe leg pain may make it hard to walk or do other types of physical activity. Other peripheral artery disease symptoms may include:  Coldness in the lower leg or foot, especially when compared with the other side Leg numbness or weakness No pulse or a weak pulse in the legs or feet Painful cramping in one or both of the hips, thighs or calf muscles after certain activities, such as walking or climbing stairs Shiny skin on the legs Skin color changes on the legs Slower growth of the toenails Sores on the toes, feet or legs that won't heal Pain when using the arms, such as aching and cramping when knitting, writing or doing other manual tasks Erectile dysfunction Hair loss or slower hair growth on the legs  If peripheral artery disease gets worse, pain may occur during rest or when lying down. The pain may interrupt sleep. Hanging the legs over the edge of the bed or walking may temporarily relieve the pain.",741
"continuous_sneezing,shivering,watering_from_eyes",35
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",466
"The main sign of low sperm count is the inability to conceive a child. There might be no other obvious signs or symptoms. In some men, an underlying problem such as an inherited chromosomal abnormality, a hormonal imbalance, dilated testicular veins or a condition that blocks the passage of sperm may cause signs and symptoms. Low sperm count symptoms might include:  Problems with sexual function — for example, low sex drive or difficulty maintaining an erection (erectile dysfunction) Pain, swelling or a lump in the testicle area Decreased facial or body hair or other signs of a chromosome or hormone abnormality ",588
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",27
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum",149
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",502
"I've been feeling really sick for the past few days. I've had a high fever, chills, and intense itching. I've also been vomiting and sweating a lot. I have a headache and my muscles are sore.",596
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",207
"My skin is really itchy, and it sometimes breaks out into a rash. I also have some weird areas of skin that are a different color than the rest of me, and sometimes I get little bumps that look like nodules.",394
"Multiple system atrophy (MSA) affects many parts of your body. Symptoms usually start in adulthood, usually in the 50s or 60s. There are two types of MSA: parkinsonian and cerebellar. The type depends on the symptoms you have when you're diagnosed. MSA Parkinsonian type This is the most common type of MSA. The signs and symptoms are similar to those of Parkinson's disease, such as: MSA  Stiff muscles Difficulty bending your arms and legs Slow movement (bradykinesia) Tremors can occur at rest or when moving your arms or legs Soft voice Problems with posture and balance  Cerebellar type The main signs and symptoms are problems with muscle coordination (ataxia), but others may include:  Impaired movement and coordination, such as unsteady gait and loss of balance Slurred, slow or low-volume speech (dysarthria) Visual disturbances, such as blurred or double vision and difficulty focusing your eyes Difficulty swallowing (dysphagia) or chewing Changes in speech, such as slurred speech   General signs and symptoms In addition, the primary sign of multiple system atrophy is autonomic failure, which may cause problems with body functions you can't control. This may include: Postural (orthostatic) hypotension Postural hypotension is a form of low blood pressure that makes you feel dizzy or lightheaded, or even faint, when you stand up from sitting or lying down. Not everyone with MSA has postural hypotension. MSA You can also develop dangerously high blood pressure levels while lying down (supine hypertension). Urinary and bowel dysfunction  Constipation Loss of bladder or bowel control (incontinence)  Changes in sweat production  Producing less sweat Heat intolerance due to reduced sweating Impaired body temperature control, often causing cold hands or feet  Sleep disorders  Agitated sleep due to ""acting out"" dreams Abnormal breathing at night or a harsh breathing sound (stridor)  Sexual dysfunction  Inability to achieve or maintain an erection (impotence) Loss of libido  Cardiovascular problems  Color changes in hands and feet caused by pooling of blood  Psychiatric problems  Difficulty controlling emotions, such as laughing or crying inappropriately ",654
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",0
"A popliteal artery aneurysm may not cause any noticeable symptoms. The first symptom may be pain the lower leg that occurs with walking (claudication). Other signs and symptoms of a popliteal artery aneurysm include:   Knee pain Lower leg pain Swelling behind the knee Pulsing sensation behind the knee  Causes An aneurysm is a ballooning in a weak spot in an artery wall. Many different things can cause the popliteal artery wall to become weak, including:  Clogged arteries (atherosclerosis) High blood pressure Wear and tear of the popliteal artery due to repetitive use of the knee joint Weakening of the artery wall  Risk factors Popliteal artery aneurysms are rare. They are more common in men than in women. Popiteal artery aneurysms often occur in men with abdominal aortic aneurysm (AAA), a swelling of the wall of the body's main artery (aorta). Anyone diagnosed with popliteal artery aneurysm should be screened for AAA. AAA Other risk factors for popliteal artery aneurysm include:  Increasing age High blood pressure (hypertension) Smoking Narrowing of a heart valve (stenotic disease) Having three or more aneurysms anywhere in the body  Complications Complications of popliteal artery aneurysm include blood clots (thrombosis) and, rarely, rupture of the aneurysm. Thrombosis of a popliteal artery aneurysm can cause a severe lack of blood flow (ischemia) in the lower leg, which may result in loss of the limb. Sudden leg ischemia can cause the following signs and symptoms:  A change in skin color in the affected area No pulse behind the knee Skin in the affected area feels cold Numbness in the leg Inability to move the foot  The risk of popliteal artery aneurysm rupture is low. Prevention Smoking and high blood pressure (hypertension) increase the risk of blood vessel (vascular) problems that can lead to popliteal artery and other aneurysms. Following a heart-healthy lifestyle — such as not smoking, eating a nutritious diet and getting regular exercise — can help prevent heart disease and blood vessel damage.                  By Mayo Clinic Staff By Mayo Clinic Staff  Popliteal artery aneurysm care at Mayo Clinic ",778
"I've been having back pain, a cough, and weakness in my arms and legs. My neck hurts, and I've been feeling dizzy and off-balance.",186
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",630
"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching",735
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",718
"fatigue,high_fever,breathlessness,family_history,mucoid_sputum",149
"I have pain in my stomach after eating certain foods, like hot or acidic food. I also have loose stools sometimes. Bending over or lying down makes my stomach feel worse.",736
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",0
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain",412
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",515
"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching",735
"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain",1026
I have a lot of pain in my neck and my muscles feel weak. My joints are swollen and I have a lot of stiffness when I walk. Walking is also very uncomfortable.,72
"Signs and symptoms of lip cancer include:  A flat or slightly raised whitish discoloration of the lip A sore on your lip that won't heal Tingling, pain or numbness of the lips or the skin around the mouth ",577
"I've been having a lot of pain in my joints, especially in my neck and shoulders. It's hard to move around and I'm always feeling stiff. I've also been having trouble sleeping because of the pain.",72
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
"joint_pain,neck_pain,knee_pain,swelling_joints,painful_walking",700
"fatigue,cough,high_fever,breathlessness,mucoid_sputum",149
"itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",193
"continuous_sneezing,shivering,chills,watering_from_eyes",35
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",466
"Symptoms of high blood sugar or low blood sugar usually develop before a diabetic coma. High blood sugar (hyperglycemia) If your blood sugar level is too high, you may have:  Increased thirst Frequent urination Blurred vision Tiredness or weakness Headache Nausea and vomiting Shortness of breath Stomach pain Fruity breath odor A very dry mouth  Low blood sugar (hypoglycemia) If your blood sugar is too low, you may have:  Shakiness Anxiety Tiredness or drowsiness Weakness Sweating Hunger A feeling of tingling on your skin Dizziness or lightheadedness Headache Difficulty speaking Blurry vision Confusion Loss of consciousness  Some people, especially those who've had diabetes for a long time, develop a condition known as hypoglycemia unawareness. That means they don't have warning symptoms that signal a drop in blood sugar. If you have any symptoms of high or low blood sugar, test your blood sugar right away. Based on the test results, follow your diabetes treatment. If you don't start to feel better quickly, or you start to feel worse, get medical care right away.",287
"skin_rash,pus_filled_pimples,blackheads,scurring",7
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",502
"burning_micturition,bladder_discomfort,continuous_feel_of_urine",1035
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",27
The symptoms of cyclic vomiting syndrome often begin in the morning. Signs and symptoms include:  Three or more recurrent episodes of vomiting that start around the same time and last for a similar length of time Varying intervals of generally normal health without nausea between episodes Intense nausea and sweating before an episode starts  Other signs and symptoms during a vomiting episode may include:  Abdominal pain Diarrhea Dizziness Sensitivity to light Headache Retching or gagging ,262
"vomiting,headache,nausea,spinning_movements,unsteadiness",0
"           Strep throat infection       Open pop-up dialog box          Close    Strep throat infection   Strep throat infection Strep throat usually causes throat pain and difficulty swallowing. This photo of strep throat shows inflammation and red spots, caused by the infection.               Strep throat infection       Open pop-up dialog box           Strep throat infection       Open pop-up dialog box  Open pop-up dialog box       Close    Strep throat infection   Strep throat infection Strep throat usually causes throat pain and difficulty swallowing. This photo of strep throat shows inflammation and red spots, caused by the infection.          Close    Strep throat infection   Strep throat infection Strep throat usually causes throat pain and difficulty swallowing. This photo of strep throat shows inflammation and red spots, caused by the infection.        Close    Strep throat infection   Strep throat infection Strep throat usually causes throat pain and difficulty swallowing. This photo of strep throat shows inflammation and red spots, caused by the infection.     Close    Close  Close Strep throat infection   Strep throat infection Strep throat usually causes throat pain and difficulty swallowing. This photo of strep throat shows inflammation and red spots, caused by the infection.  Strep throat infection Strep throat usually causes throat pain and difficulty swallowing. This photo of strep throat shows inflammation and red spots, caused by the infection. Strep throat usually causes throat pain and difficulty swallowing. This photo of strep throat shows inflammation and red spots, caused by the infection. Signs and symptoms of strep throat can include:  Throat pain that usually comes on quickly Painful swallowing Red and swollen tonsils, sometimes with white patches or streaks of pus Tiny red spots on the area at the back of the roof of the mouth (soft or hard palate) Swollen, tender lymph nodes in your neck Fever Headache Rash Nausea or vomiting, especially in younger children Body aches  It's possible for you or your child to have many of these signs and symptoms but not have strep throat. The cause of these signs and symptoms could be a viral infection or some other illness. That's why your doctor generally tests specifically for strep throat. It's also possible for you to be exposed to a person who carries strep but shows no symptoms.",944
"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",468
"vomiting,breathlessness,chest_pain",447
"I have a fever and a rash on my face. The rash is red and painful, and it's oozing yellow fluid.",515
"I have a rash that started out as small red sores near my nose and neck. The sores have gotten more painful and inflamed in recent days, and I have a high temperature.",515
"burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine",1035
I have been having back pain for a while now. It's been getting worse lately. I also have a cough that won't go away. I've been feeling weak in my arms and legs. My neck hurts and I've been feeling dizzy and off balance.,186
"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching",735
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",718
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",465
"vomiting,headache,spinning_movements,loss_of_balance,unsteadiness",0
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",297
"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness",0
I'm really tired and weak. I can barely keep my eyes open. I have a fever and I don't feel like eating anything. I think I've lost my appetite.,193
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",207
"itching,skin_rash,nodal_skin_eruptions,dischromic__patches",394
"constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus",297
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",297
"A child or adult with wheat allergy is likely to develop signs and symptoms within minutes to hours after eating something containing wheat. Wheat allergy signs and symptoms include:  Swelling, itching or irritation of the mouth or throat Hives, itchy rash or swelling of the skin Nasal congestion Headache Difficulty breathing Cramps, nausea or vomiting Diarrhea Anaphylaxis  Anaphylaxis For some people, wheat allergy may cause a life-threatening reaction called anaphylaxis. In addition to other signs and symptoms of wheat allergy, anaphylaxis may cause:  Swelling or tightness of the throat Chest pain or tightness Severe difficulty breathing Trouble swallowing Pale, blue skin color Dizziness or fainting ",1067
I have a stomach pain that keeps me up at night. I get tired after using the bathroom and I don't want to eat. I worry all the time.,736
"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum",766
"I have a rash on my skin that is itchy and uncomfortable. It is also red and flaky. It has been spreading to other parts of my body, including my chest and abdomen. I am also facing skin peeling.",822
I have a sour acidic taste in my mouth. I have frequent belching and burping. I have a feeling of pressure or fullness in my upper abdomen that last for a few hours. I have a pain in my upper abdomen that is worse when I eat.,736
"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration",501
"I have been developing sores on my face and nose area for a few days now. I am not sure what is causing this. The sores on my face are swollen and tender to the touch, and I have a burning sensation and redness of the skin. I am also feeling a little bit feverish and have a headache.",515
"vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",467
I have a rash all over my body. It's really itchy and I feel really sick.,193
"Common symptoms of BPH include: BPH  Frequent or urgent need to pee, also called urination. Peeing more often at night. Trouble starting to pee. Weak urine stream, or a stream that stops and starts. Dribbling at the end of urination. Not being able to fully empty the bladder.  Less common symptoms include:  Urinary tract infection. Not being able to pee. Blood in the urine.  The symptoms of BPH tend to slowly get worse. But sometimes they stay the same or even improve over time. BPH The size of the prostate doesn't always determine how serious the symptoms are. Some people with slightly enlarged prostates can have major symptoms. Others who have very enlarged prostates can have minor problems. And some people with enlarged prostates don't have any symptoms at all. Other possible causes of urinary symptoms Some other health problems can lead to symptoms that are like those caused by enlarged prostate. These include:  Urinary tract infection. Inflamed prostate. Narrowing of the urethra, the tube that carries urine out of the body. Scarring in the bladder neck due to past surgery. Bladder or kidney stones. Problems with nerves that control the bladder. Cancer of the prostate or bladder.  Some medicines also may lead to symptoms that seem like those caused by BPH. These include:  BPH  Powerful pain-relieving medicines called opioids. Cold and allergy medicines. Older medicines for depression called tricyclic antidepressants. ",108
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",541
"Dupuytren contracture gets worse slowly, over years. The condition begins with a firm lump in the palm of the hand. This lump might be a little tender, but usually isn't painful. Over time, the lump can extend into a hard cord under the skin and up into the finger. This cord tightens and pulls the finger toward the palm, sometimes severely. Dupuytren contracture most commonly affects the two fingers farthest from the thumb. The condition often occurs in both hands.",316
"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails",822
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",502
I've been feeling really sick lately. I've been sneezing a lot and my nose is running. My throat is also really scratchy and I've been feeling really tired.,234
"I have a rash all over my body that is very itchy. It is red and bumpy, and there are some darkened spots and a few tiny, nodular breakouts. It has been happening for several days and is getting worse.",394
"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain",1026
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",718
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",718
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",464
"stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain",412
"back_pain,neck_pain,dizziness,loss_of_balance",186
